First Movement,achievement_01_first_movement.png
Six,achievement_02_first_six.png
Seven,achievement_03_first_seven.png
SixSeven!,achievement_04_six_seven.png
First Purchase,achievement_05_first_purchase.png
Now It Runs Itself,achievement_06_first_automatic_production.png
Aura Never Sleeps,achievement_07_first_offline_reward.png
A Hundred or So,achievement_08_manual_movements_100.png
Hands at Work,achievement_09_manual_movements_1000.png
Spiritual Tendinitis,achievement_10_manual_movements_10000.png
Rookie Aura,achievement_11_total_aura_1000.png
Industrial Aura,achievement_12_total_aura_1_million.png
Legendary Aura,achievement_13_total_aura_1_billion.png
Cosmic Aura,achievement_14_total_aura_1_trillion.png
This Is Escalating,achievement_15_total_aura_1_quintillion.png
Collector,achievement_16_ten_items.png
Complete Catalog,achievement_17_original_item_catalog.png
A Solid Cast,achievement_18_five_characters.png
Everyone Has Aura,achievement_19_original_character_roster.png
Maximum Aura,achievement_20_maximum_aura_state.png
Forty Two,achievement_21_forty_two.png
Seven Days of Aura,achievement_22_seven_distinct_days.png
Faithful to the Farm,achievement_23_thirty_distinct_days.png
Sixty-Seven per Second,achievement_24_aura_per_second_67.png
Serious Production,achievement_25_aura_per_second_1_million.png
One Absurd Movement,achievement_26_single_movement_1_million.png
