First Movement,Produce aura with your first movement.,False,,Revealed,5,1
Six,Perform your first Six.,False,,Revealed,5,2
Seven,Perform your first Seven.,False,,Revealed,5,3
SixSeven!,Farm a total of 67 aura.,False,,Revealed,10,4
First Purchase,Buy your first upgrade.,False,,Revealed,10,5
Now It Runs Itself,Start producing aura automatically.,False,,Revealed,10,6
Aura Never Sleeps,Collect aura produced while you were away.,False,,Revealed,15,7
A Hundred or So,Perform 100 manual movements.,True,100,Revealed,10,8
Hands at Work,Perform 1000 manual movements.,True,1000,Revealed,25,9
Spiritual Tendinitis,Perform 10000 manual movements.,True,10000,Revealed,50,10
Rookie Aura,Farm a total of one thousand aura.,False,,Revealed,15,11
Industrial Aura,Farm a total of one million aura.,False,,Revealed,30,12
Legendary Aura,Farm a total of one billion aura.,False,,Revealed,50,13
Cosmic Aura,Farm a total of one trillion aura.,False,,Revealed,75,14
This Is Escalating,Farm a total of one quintillion aura.,False,,Revealed,100,15
Collector,Unlock ten different items.,False,,Revealed,30,16
Complete Catalog,Unlock every item in the original catalog.,False,,Revealed,75,17
A Solid Cast,Unlock three Aura Transformations.,False,,Revealed,30,18
Everyone Has Aura,Unlock every original Aura Transformation.,False,,Revealed,75,19
Maximum Aura,Reach the maximum visual aura state.,False,,Revealed,50,20
Forty Two,Unlock the answer to life the universe and everything.,False,,Hidden,40,21
Seven Days of Aura,Play Aura Shift on seven different days.,True,7,Revealed,30,22
Faithful to the Farm,Play Aura Shift on thirty different days.,True,30,Revealed,75,23
Sixty-Seven per Second,Produce at least 67 aura per second.,False,,Revealed,15,24
Serious Production,Produce at least one million aura per second.,False,,Revealed,50,25
One Absurd Movement,Produce one million aura in a single movement.,False,,Revealed,50,26
